Name,Page Title,Page,Total Played Time
C1106,第二單元 04 資料輸出 - PIPLS,/335019/04,836
C1032,第二單元 04 資料輸出 - PIPLS,/334983/04,834
C1031,第六單元 04 for迴圈三 - PIPLS,/352976/04-for,834
C1033,第二單元 03 基本資料型態 - PIPLS,/334982/03,832
C1060,第四單元 03 字串的轉換與測試（一） - PIPLS,/339443/03,830
C1027,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,828
C1009,第七單元 01 什麼是串列 - PIPLS,/355059/01,828
C1013,第六單元 02 for迴圈一 - PIPLS,/354609/02-for,828
C1031,第六單元 02 for迴圈一 - PIPLS,/352968/02-for,828
C1107,第二單元 03 基本資料型態 - PIPLS,/334982/03,826
C1108,第二單元 03 基本資料型態 - PIPLS,/334982/03,824
C1043,第九單元 05 長條圖 - PIPLS,/364492/05,822
C1038,第六單元 02 for迴圈一 - PIPLS,/352968/02-for,822
C1102,第二單元 05 資料輸入 - PIPLS,/334984/05,822
C1109,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,822
C1018,第二單元 05 資料輸入 - PIPLS,/334984/05,822
C1013,第二單元 03 基本資料型態 - PIPLS,/334982/03,820
C1040,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,820
C1051,第六單元 04 for迴圈三 - PIPLS,/354611/04-for,820
C1029,第七單元 02 串列的基本操作 - PIPLS,/357349/02,818
C1091,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,816
C1110,第二單元 04 資料輸出 - PIPLS,/335019/04,816
C1111,第三單元 02 內建數值處理函式 - PIPLS,/0.5.34.218/02,816
C1058,第八單元 05 區域變數與全域變數 - PIPLS,/359139/05,814
C1112,第二單元 01 什麼是變數？ - PIPLS,/334980/01,814
C1113,第四單元 02 字串的函式與運算子（二） - PIPLS,/339441/02,814
C1114,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,812
C1115,第四單元 06 字元及編碼 - PIPLS,/342997/06,812
C1008,第七單元 05 什麼是字典 - PIPLS,/355082/05,810
C1056,第五單元 02 單向選擇結構 - PIPLS,/353003/02,808
C1072,第二單元05資料輸入 - PIPLS,/334984/05,808
C1048,第九單元 01 基本繪圖~線性圖 - PIPLS,/364484/01,806
C1028,第二單元 05 資料輸入 - PIPLS,/334984/05,806
C1109,第二單元 04 資料輸出 - PIPLS,/334983/04,806
C1008,第四單元 05 字串的搜尋與邊緣刪減 - PIPLS,/339446/05,804
C1031,第四單元 02 字串的函式與運算子（二） - PIPLS,/339441/02,804
C1028,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,802
C1063,第二單元 05 資料輸入 - PIPLS,/335020/05,802
C1016,第七單元 01 什麼是串列 - PIPLS,/357348/01,802
C1000,第四單元 02 字串的函式與運算子（二） - PIPLS,/339441/02,802
C1057,第二單元 05 資料輸入 - PIPLS,/334984/05,800
C1031,第二單元 04 資料輸出 - PIPLS,/335019/04,800
C1116,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,798
C1020,第二單元 04 資料輸出 - PIPLS,/335019/04,798
C1057,第二單元 01 什麼是變數？ - PIPLS,/334980/01,796
C1114,第二單元 01 什麼是變數？ - PIPLS,/335016/01,796
C1017,第九單元 06 圓餅圖 - PIPLS,/364457/06,796
C1001,第六單元 02 for迴圈一 - PIPLS,/354609/02-for,796
C1117,第二單元 01 什麼是變數？ - PIPLS,/334980/01,796
C1016,第九單元 01 基本繪圖~線性圖 - PIPLS,/364452/01,796
C1002,第二單元 01 什麼是變數？ - PIPLS,/334980/01,796
C1024,第二單元 01 什麼是變數？ - PIPLS,/335016/01,794
C1027,第二單元 01 什麼是變數？ - PIPLS,/334980/01,792
C1002,第七單元 02 串列的基本操作 - PIPLS,/357349/02,792
C1118,第二單元 01 什麼是變數？ - PIPLS,/334980/01,790
C1078,第四單元 06 字元及編碼 - PIPLS,/342997/06,790
C1026,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,788
C1100,第七單元 03 處理串列的函式與方法 - PIPLS,/355078/03,788
C1082,第三單元02內建數值處理函式 - PIPLS,/339532/02,788
C1113,第一單元 03 軟體使用簡介 - PIPLS,/334430/03,788
C1119,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,786
C1107,第四單元 03 字串的轉換與測試（一） - PIPLS,/342994/03,786
C1047,第三單元 01 算數運算子 - PIPLS,/336599/01,784
C1115,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,780
C1000,第二單元 05 資料輸入 - PIPLS,/335020/05,780
C1089,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,780
C1095,第七單元 02 串列的基本操作 - PIPLS,/357349/02,780
C1062,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,780
C1017,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,780
C1107,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,780
C1038,第五單元 01 關係與邏輯運算子 - PIPLS,/349966/01,780
C1120,第二單元 01 什麼是變數？ - PIPLS,/335016/01,780
C1062,第二單元 04 資料輸出 - PIPLS,/334983/04,778
C1118,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,778
C1121,第七單元 02 串列的基本操作 - PIPLS,/357349/02,776
C1122,第四單元 06 字元及編碼 - PIPLS,/342997/06,776
C1119,第八單元 03 函式的參數傳遞 - PIPLS,/359137/03,776
C1044,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,774
C1107,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,772
C1120,第三單元 03 數學模組 - PIPLS,/336606/03,772
C1123,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,772
C1068,第七單元 01 什麼是串列 - PIPLS,/355059/01,770
C1100,第七單元 01 什麼是串列 - PIPLS,/355059/01,768
C1124,第二單元 05 資料輸入 - PIPLS,/0.5.28.172/05,768
C1028,第六單元 02 for迴圈一 - PIPLS,/354609/02-for,768
C1015,第二單元 05 資料輸入 - PIPLS,/335020/05,768
C1099,第一單元 03 軟體使用簡介 - PIPLS,/334430/03,768
C1064,第二單元 04 資料輸出 - PIPLS,/334983/04,766
C1076,第六單元 07 break與continue敘述 - PIPLS,/353001/07-breakcontinue,766
C1083,第三單元 01 算數運算子 - PIPLS,/336599/01,764
C1125,第八單元 03 函式的參數傳遞 - PIPLS,/359147/03,764
C1067,第七單元 02 串列的基本操作 - PIPLS,/355071/02,762
C1113,第一單元 02 軟體下載及安裝 - PIPLS,/334429/02,762
C1028,第七單元 02 串列的基本操作 - PIPLS,/357349/02,762
C1126,第三單元 01 算數運算子 - PIPLS,/336599/01,762
C1127,第三單元 03 數學模組 - PIPLS,/336606/03,762
C1008,第九單元 01 基本繪圖~線性圖 - PIPLS,/364484/01,760
C1113,第四單元 06 字元及編碼 - PIPLS,/339447/06,760
C1090,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,760
C1019,第三單元 03 數學模組 - PIPLS,/336606/03,756
C1128,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,756
C1129,第一單元 03 軟體使用簡介 - PIPLS,/280671/03,756
C1085,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,754
C1109,第二單元 03 基本資料型態 - PIPLS,/334982/03,754
C1046,第四單元 05 字串的搜尋與邊緣刪減 - PIPLS,/339446/05,752
C1037,第五單元 04 多向選擇結構 - PIPLS,/353005/04,752
C1114,第一單元 03 軟體使用簡介 - PIPLS,/334430/03,752
C1130,第一單元 03 軟體使用簡介 - PIPLS,/334430/03,752
C1098,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,750
C1131,第二單元 04 資料輸出 - PIPLS,/334983/04,750
C1095,第三單元 03 數學模組 - PIPLS,/339533/03,750
C1023,第三單元02內建數值處理函式 - PIPLS,/339532/02,748
C1065,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,746
C1035,第二單元 03 基本資料型態 - PIPLS,/334982/03,744
C1028,第五單元 02 單向選擇結構 - PIPLS,/353003/02,744
